globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
161,combat-idle-to-normal-idle,0,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-000.png,,,
162,combat-idle-to-normal-idle,1,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-001.png,,,9.6863
163,combat-idle-to-normal-idle,2,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-002.png,,,9.088
164,combat-idle-to-normal-idle,3,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-003.png,,,8.7282
165,combat-idle-to-normal-idle,4,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-004.png,,,10.8848
166,combat-idle-to-normal-idle,5,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-005.png,,,9.277
167,combat-idle-to-normal-idle,6,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-006.png,,,8.667
168,combat-idle-to-normal-idle,7,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-007.png,,,10.3354
169,combat-idle-to-normal-idle,8,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-008.png,,,13.9071
170,combat-idle-to-normal-idle,9,sprites/character/character-v8/runtime/combat-idle-to-normal-idle-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/combat-idle-to-normal-idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/combat-idle-to-normal-idle/frames/frame-009.png,,,14.4697
