globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
113,dig-up-sideways,0,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-000.png,,,
114,dig-up-sideways,1,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-001.png,,,20.62
115,dig-up-sideways,2,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-002.png,,,17.6092
116,dig-up-sideways,3,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-003.png,,,29.6807
117,dig-up-sideways,4,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-004.png,,,11.2458
118,dig-up-sideways,5,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-005.png,,,18.225
119,dig-up-sideways,6,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-006.png,,,20.9499
120,dig-up-sideways,7,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-007.png,,,35.5567
121,dig-up-sideways,8,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-008.png,,,30.0007
122,dig-up-sideways,9,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-009.png,,,18.7471
123,dig-up-sideways,10,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-010.png,,,16.3626
124,dig-up-sideways,11,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-011.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-011.png,,,21.0627
125,dig-up-sideways,12,sprites/character/character-v8/runtime/dig-up-sideways-cleaned-frames/frame-012.png,sprites/character/character-v8/piskel/dig-up-sideways.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/dig-up-sideways/frames/frame-012.png,,,17.8904
