globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
126,fly-climb,0,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-000.png,,,
127,fly-climb,1,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-001.png,,,28.4742
128,fly-climb,2,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-002.png,,,18.7506
129,fly-climb,3,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-003.png,,,17.7978
130,fly-climb,4,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-004.png,,,15.8024
131,fly-climb,5,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-005.png,,,16.1087
132,fly-climb,6,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-006.png,,,18.7641
133,fly-climb,7,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-007.png,,,11.6729
134,fly-climb,8,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-008.png,,,14.536
135,fly-climb,9,sprites/character/character-v8/runtime/fly-climb-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/fly-climb.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/fly-climb/frames/frame-009.png,,,11.4699
