globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
35,walk,0,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-000.png,,,
36,walk,1,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-001.png,,,3.4882
37,walk,2,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-002.png,,,8.0857
38,walk,3,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-003.png,,,13.3679
39,walk,4,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-004.png,,,9.399
40,walk,5,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-005.png,,,5.5972
41,walk,6,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-006.png,,,9.5301
42,walk,7,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-007.png,,,14.1857
43,walk,8,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-008.png,,,10.655
44,walk,9,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-009.png,,,12.8657
45,walk,10,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-010.png,,,10.4635
