globalFrame,animation,localFrame,sourceFrame,sourcePiskel,reviewFramePng,exactDuplicateOfGlobal,exactDuplicateOfLocal,adjacentMeanDiffFromPrevious
0,idle,0,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-000.png,,,
1,idle,1,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-001.png,,,6.163
2,idle,2,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-002.png,,,4.6086
3,idle,3,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-003.png,,,9.6892
4,idle,4,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-004.png,,,10.2005
5,idle,5,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-005.png,,,2.9183
6,idle,6,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-006.png,,,4.4505
7,idle,7,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-007.png,,,2.7052
8,idle,8,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-008.png,,,5.8033
9,idle,9,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-009.png,,,5.0771
10,idle,10,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-010.png,,,3.1213
11,idle,11,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-011.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-011.png,,,7.4193
12,idle,12,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-012.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-012.png,,,6.51
13,idle,13,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-013.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-013.png,,,2.2544
14,idle,14,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-014.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-014.png,,,7.37
15,idle,15,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-015.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-015.png,,,3.4822
16,idle,16,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-016.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-016.png,,,2.2724
17,idle,17,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-017.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-017.png,,,1.6852
18,idle,18,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-018.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-018.png,,,2.2163
19,idle,19,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-019.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-019.png,,,1.9045
20,idle,20,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-020.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-020.png,,,2.2958
21,idle,21,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-021.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-021.png,,,5.3711
22,idle,22,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-022.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-022.png,,,6.5633
23,idle,23,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-023.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-023.png,,,1.0071
24,idle,24,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-024.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-024.png,,,5.8439
25,idle,25,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-025.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-025.png,,,5.3876
26,idle,26,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-026.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-026.png,,,0.0584
27,idle,27,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-027.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-027.png,,,0.0574
28,idle,28,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-028.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-028.png,,,6.4008
29,idle,29,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-029.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-029.png,,,0.0626
30,idle,30,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-030.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-030.png,,,0.0602
31,idle,31,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-031.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-031.png,,,0.06
32,idle,32,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-032.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-032.png,,,0.0577
33,idle,33,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-033.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-033.png,,,0.056
34,idle,34,sprites/character/character-v8/runtime/idle-cleaned-frames/frame-034.png,sprites/character/character-v8/piskel/idle.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/idle/frames/frame-034.png,,,0.0589
35,walk,0,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-000.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-000.png,,,
36,walk,1,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-001.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-001.png,,,3.4882
37,walk,2,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-002.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-002.png,,,8.0857
38,walk,3,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-003.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-003.png,,,13.3679
39,walk,4,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-004.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-004.png,,,9.399
40,walk,5,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-005.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-005.png,,,5.5972
41,walk,6,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-006.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-006.png,,,9.5301
42,walk,7,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-007.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-007.png,,,14.1857
43,walk,8,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-008.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-008.png,,,10.655
44,walk,9,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-009.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-009.png,,,12.8657
45,walk,10,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-010.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-010.png,,,10.4635
46,walk,11,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-011.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-011.png,,,13.9349
47,walk,12,sprites/character/character-v8/runtime/walk-cleaned-frames/frame-012.png,sprites/character/character-v8/piskel/walk.piskel,markdown/audit/animation-audit/2026-07-02-legacy-miner-v8-frame-review/by-animation/walk/frames/frame-012.png,,,12.8638
